game_id,date,season,market_home_prob,neutral
283480193.0,2008-12-13,2009,0.9352,0
283482247.0,2008-12-13,2009,0.3493,0
283482751.0,2008-12-13,2009,0.5963,0
283482509.0,2008-12-13,2009,0.976,0
283480097.0,2008-12-13,2009,0.9727,0
283482050.0,2008-12-13,2009,0.6279,0
283480139.0,2008-12-13,2009,0.8898,0
283490166.0,2008-12-14,2009,0.5526,0
283490154.0,2008-12-14,2009,0.9727,0
283490189.0,2008-12-14,2009,0.7396,0
283490058.0,2008-12-14,2009,0.6742,0
283492287.0,2008-12-14,2009,0.9428,0
283492217.0,2008-12-14,2009,0.7635,0
283490278.0,2008-12-14,2009,0.6279,0
283532132.0,2008-12-18,2009,0.669,0
283532413.0,2008-12-18,2009,0.5963,0
283550277.0,2008-12-20,2009,0.7925,0
283550172.0,2008-12-20,2009,0.6345,0
283550005.0,2008-12-20,2009,0.9683,0
283552184.0,2008-12-20,2009,0.8579,0
283550103.0,2008-12-20,2009,0.6507,0
283552199.0,2008-12-20,2009,0.5427,0
283552181.0,2008-12-20,2009,0.5217,0
283550258.0,2008-12-20,2009,0.6115,0
283550009.0,2008-12-20,2009,0.6187,0
283552492.0,2008-12-20,2009,0.0846,0
283552172.0,2008-12-20,2009,0.4573,0
283550235.0,2008-12-20,2009,0.7925,0
283550093.0,2008-12-20,2009,0.5325,1
283552599.0,2008-12-20,2009,0.9054,1
283550194.0,2008-12-20,2009,0.9369,0
283550061.0,2008-12-20,2009,0.8554,0
283552751.0,2008-12-20,2009,0.9535,0
283552509.0,2008-12-20,2009,0.6473,0
283550299.0,2008-12-20,2009,0.8065,0
283550238.0,2008-12-20,2009,0.9221,0
283552132.0,2008-12-20,2009,0.88,0
283562599.0,2008-12-21,2009,0.5217,1
283560302.0,2008-12-21,2009,0.7174,0
283570235.0,2008-12-22,2009,0.9683,0
283580009.0,2008-12-23,2009,0.964,0
283620097.0,2008-12-27,2009,0.8762,0
283620194.0,2008-12-27,2009,0.4848,0
283622520.0,2008-12-27,2009,0.6581,0
283632460.0,2008-12-28,2009,0.7901,0
283632623.0,2008-12-28,2009,0.4573,0
283630026.0,2008-12-28,2009,0.986,0
283630166.0,2008-12-28,2009,0.9727,0
283630339.0,2008-12-28,2009,0.5882,0
283632509.0,2008-12-28,2009,0.985,0
283630059.0,2008-12-28,2009,0.746,0
283630276.0,2008-12-28,2009,0.9312,0
283630189.0,2008-12-28,2009,0.9054,0
283642229.0,2008-12-29,2009,0.6889,0
283640036.0,2008-12-29,2009,0.3419,1
283640093.0,2008-12-29,2009,0.3493,0
283662729.0,2008-12-31,2009,0.7066,0
283660235.0,2008-12-31,2009,0.9473,0
283660282.0,2008-12-31,2009,0.175,0
283660152.0,2008-12-31,2009,0.9154,0
283662181.0,2008-12-31,2009,0.7428,0
283662287.0,2008-12-31,2009,0.7579,0
283662507.0,2008-12-31,2009,0.7579,0
283660194.0,2008-12-31,2009,0.7635,0
283660242.0,2008-12-31,2009,0.2421,0
283662184.0,2008-12-31,2009,0.6889,0
283660097.0,2008-12-31,2009,0.9007,0
283660150.0,2008-12-31,2009,0.9956,0
290012174.0,2009-01-01,2009,0.698,0
290010098.0,2009-01-01,2009,0.8579,0
290010269.0,2009-01-01,2009,0.5963,0
290012443.0,2009-01-01,2009,0.5711,0
290010314.0,2009-01-01,2009,0.6889,0
290010304.0,2009-01-01,2009,0.6345,0
290022483.0,2009-01-02,2009,0.4289,0
290020239.0,2009-01-02,2009,0.8199,0
290030257.0,2009-01-03,2009,0.8366,0
290030111.0,2009-01-03,2009,0.7667,0
290032275.0,2009-01-03,2009,0.669,0
290030189.0,2009-01-03,2009,0.9189,0
290032247.0,2009-01-03,2009,0.331,0
290030228.0,2009-01-03,2009,0.976,0
290032174.0,2009-01-03,2009,0.2273,0
290032550.0,2009-01-03,2009,0.1878,0
290032294.0,2009-01-03,2009,0.88,0
290030002.0,2009-01-03,2009,0.88,0
290032306.0,2009-01-03,2009,0.9623,0
290032166.0,2009-01-03,2009,0.9838,0
290032099.0,2009-01-03,2009,0.6187,0
290030231.0,2009-01-03,2009,0.2805,0
